v1,v2
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.
ham,Idea will soon get converted to live:)
ham,S....s...india going to draw the series after many years in south african soil..
ham,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min."
ham,Can't take any major roles in community outreach. You rock mel
ham,Shopping lor. Them raining mah hard 2 leave orchard.
ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.
ham,See the forwarding message for proof
ham,"Princess, is your kitty shaved or natural?"
ham,"Better than bb. If he wont use it, his wife will or them doctor"
ham,Ya it came a while ago
ham,From tomorrow onwards eve 6 to 3 work.
ham,Anything lor but toa payoh got place 2 walk meh...
ham,U having lunch alone? I now so bored...
ham,"Yes obviously, but you are the eggs-pert and the potato head‰Û_ Speak soon! "
ham,"Nah man, my car is meant to be crammed full of people"
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
ham,Kallis is ready for bat in 2nd innings
ham,Thanx but my birthday is over already.
ham,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
ham,"I noe la... U wana pei bf oso rite... K lor, other days den..."
ham,"Yes, i'm small kid.. And boost is the secret of my energy.."
