,message,label,bow_results,sc_results
0,CDs 4u: Congratulations ur awarded å£500 of CD gift vouchers or å£125 gift guaranteed & Freeentry 2 å£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,1,0,0
1,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,0,0,0
2,I was gonna ask you lol but i think its at 7,0,0,0
3,Is there coming friday is leave for pongal?do you get any news from your work place.,0,0,0
4,Hey... Very inconvenient for your sis a not huh?,0,0,0
5,Ok i vl..do u know i got adsense approved..,0,0,0
6,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,0,0,0
7,Yeah so basically any time next week you can get away from your mom &amp; get up before 3,0,0,0
8,With my sis lor... We juz watched italian job.,0,0,0
9,Lmao you know me so well...,0,0,0
10,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,0,0,0
11,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,0,0,0
12,"Geeeee ... Your internet is really bad today, eh ?",0,0,0
13,I dunno lei... Like dun haf...,0,0,0
14,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,0,0,0
15,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),0,0,0
16,Gud ni8 dear..slp well..take care..swt dreams..Muah..,0,0,0
17,"Well, i'm glad you didn't find it totally disagreeable ... Lol",0,0,0
18,\Keep ur problems in ur heart,0,0,0
19,"Yeah, give me a call if you've got a minute",0,0,0
20,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,0,0,0
21,Nope thats fine. I might have a nap tho! ,0,0,0
22,You have 1 new message. Please call 08715205273,1,0,0
23,I've reached sch already...,0,0,0
24,PRIVATE! Your 2003 Account Statement for 078,1,1,1
25,"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\""""",0,0,0
26,Wot about on wed nite I am 3 then but only til 9!,0,0,0
27,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",0,0,0
28,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1,0,0
29,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,0,0,0
30,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",0,0,0
31,I will come with karnan car. Please wait till 6pm will directly goto doctor.,0,0,0
32,Just send a text. We'll skype later.,0,0,0
33,ÌÏ still got lessons?  ÌÏ in sch?,0,0,0
34,I'm in school now n i'll be in da lab doing some stuff give me a call when Ì_ r done.,0,0,0
35,U 2.,0,1,1
36,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,0,0,0
37,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",0,0,0
38,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",0,0,0
39,K sure am in my relatives home. Sms me de. Pls:-),0,0,0
40,Okie,0,1,1
41,How come she can get it? Should b quite diff to guess rite...,0,0,0
42,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",0,0,0
43,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",0,0,0
44,Dai i downloaded but there is only exe file which i can only run that exe after installing.,0,0,0
45,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,1,0,1
46,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",0,0,0
47,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,0,0,0
48,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,0,0,0
49,Hmm thinking lor...,0,0,0
50,U come n search tat vid..not finishd..,0,0,0
51,You do your studies alone without anyones help. If you cant no need to study.,0,0,0
52,Ok... Sweet dreams...,0,0,0
53,Anything lar then Ì_ not going home 4 dinner?,0,0,0
54,Did u fix the teeth?if not do it asap.ok take care.,0,0,0
55,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",0,0,0
56,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,0,0,0
57,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,1,0,0
58,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",0,0,0
59,"Yeah, probably here for a while",0,0,0
60,Sent me ur email id soon,0,0,0
61,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,0,0
62,Urgent! Please call 09061213237 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,1,0,1
63,I.ll hand her my phone to chat wit u,0,0,0
64,Well good morning mr . Hows london treatin' ya treacle?,0,0,0
65,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,0,0,0
66,My sister going to earn more than me da.,0,0,0
